,Year,State,"Cases per 100,000",Gender,Ethnicity,Y_lat,X_lon
534,2019,Alaska,173.0,Overall,Asian and Pacific Islander,64.3173,-152.571
1758,2019,Alabama,171.3,Overall,Asian and Pacific Islander,32.7949,-86.8267
3126,2019,Arkansas,254.9,Overall,Asian and Pacific Islander,34.8982,-92.434
3162,2019,American Samoa,,Overall,Asian and Pacific Islander,-14.2766,-170.367
3450,2019,Arizona,155.3,Overall,Asian and Pacific Islander,34.2921,-111.664
4512,2019,California,168.9,Overall,Asian and Pacific Islander,37.2414,-119.601
5682,2019,Colorado,132.8,Overall,Asian and Pacific Islander,38.997,-105.549
5844,2019,Connecticut,126.5,Overall,Asian and Pacific Islander,41.6179,-72.7254
5880,2019,District of Columbia,156.1,Overall,Asian and Pacific Islander,38.9005,-77.0159
5952,2019,Delaware,119.9,Overall,Asian and Pacific Islander,38.9952,-75.5014
7176,2019,Florida,147.5,Overall,Asian and Pacific Islander,28.6588,-82.497
10056,2019,Georgia,149.3,Overall,Asian and Pacific Islander,32.6549,-83.4547
10092,2019,Guam,,Overall,Asian and Pacific Islander,13.4431,144.777
10200,2019,Hawaii,227.9,Overall,Asian and Pacific Islander,20.2408,-156.326
12000,2019,Iowa,172.6,Overall,Asian and Pacific Islander,42.076,-93.5022
12810,2019,Idaho,163.8,Overall,Asian and Pacific Islander,44.3858,-114.661
14664,2019,Illinois,149.2,Overall,Asian and Pacific Islander,40.0644,-89.2034
16338,2019,Indiana,159.9,Overall,Asian and Pacific Islander,39.9128,-86.2757
18246,2019,Kansas,145.3,Overall,Asian and Pacific Islander,38.4828,-98.384
20424,2019,Kentucky,179.2,Overall,Asian and Pacific Islander,37.5266,-85.29
21594,2019,Louisiana,163.2,Overall,Asian and Pacific Islander,31.0964,-92.0302
21864,2019,Massachusetts,110.2,Overall,Asian and Pacific Islander,42.2573,-71.8024
22314,2019,Maryland,138.0,Overall,Asian and Pacific Islander,39.0648,-76.82
22620,2019,Maine,163.7,Overall,Asian and Pacific Islander,45.3889,-69.2349
24132,2019,Michigan,159.7,Overall,Asian and Pacific Islander,44.3371,-85.4387
25716,2019,Minnesota,134.1,Overall,Asian and Pacific Islander,46.3159,-94.3068
27804,2019,Missouri,169.7,Overall,Asian and Pacific Islander,38.3641,-92.4798
27840,2019,Northern Mariana Islands,,Overall,Asian and Pacific Islander,15.8818,145.601
29334,2019,Mississippi,214.2,Overall,Asian and Pacific Islander,32.7577,-89.6646
30360,2019,Montana,,Overall,Asian and Pacific Islander,47.0332,-109.653
32178,2019,North Carolina,134.6,Overall,Asian and Pacific Islander,35.5475,-79.4019
33150,2019,North Dakota,,Overall,Asian and Pacific Islander,47.4471,-100.47
34842,2019,Nebraska,122.5,Overall,Asian and Pacific Islander,41.5228,-99.8085
35040,2019,New Hampshire,73.7,Overall,Asian and Pacific Islander,43.6834,-71.5794
35436,2019,New Jersey,146.4,Overall,Asian and Pacific Islander,40.1987,-74.6768
36048,2019,New Mexico,152.0,Overall,Asian and Pacific Islander,34.4228,-106.102
36372,2019,Nevada,242.3,Overall,Asian and Pacific Islander,39.352,-116.65
37506,2019,New York,210.1,Overall,Asian and Pacific Islander,42.9465,-75.512
39108,2019,Ohio,139.9,Overall,Asian and Pacific Islander,40.2882,-82.7866
40512,2019,Oklahoma,208.0,Overall,Asian and Pacific Islander,35.5848,-97.5098
41178,2019,Oregon,133.1,Overall,Asian and Pacific Islander,43.9313,-120.554
42402,2019,Pennsylvania,149.7,Overall,Asian and Pacific Islander,40.8749,-77.8022
43824,2019,Puerto Rico,,Overall,Asian and Pacific Islander,18.2214,-66.4654
43932,2019,Rhode Island,175.6,Overall,Asian and Pacific Islander,41.682,-71.5617
44778,2019,South Carolina,144.7,Overall,Asian and Pacific Islander,33.9187,-80.9014
45984,2019,South Dakota,,Overall,Asian and Pacific Islander,44.4332,-100.236
47712,2019,Tennessee,172.0,Overall,Asian and Pacific Islander,35.8465,-86.3351
52302,2019,Texas,151.0,Overall,Asian and Pacific Islander,31.4906,-99.3517
52860,2019,Utah,194.3,Overall,Asian and Pacific Islander,39.3231,-111.676
55272,2019,Virginia,129.1,Overall,Asian and Pacific Islander,37.5188,-78.8507
55344,2019,Virgin Islands of the U.S.,,Overall,Asian and Pacific Islander,17.9473,-64.8015
55614,2019,Vermont,,Overall,Asian and Pacific Islander,44.0733,-72.661
56334,2019,Washington,147.2,Overall,Asian and Pacific Islander,47.378,-120.428
57648,2019,Wisconsin,195.2,Overall,Asian and Pacific Islander,44.6333,-90.0068
58656,2019,West Virginia,186.1,Overall,Asian and Pacific Islander,38.6411,-80.6147
59088,2019,Wyoming,,Overall,Asian and Pacific Islander,42.9984,-107.552
