,Year,State,"Cases per 100,000",Gender,Ethnicity,Y_lat,X_lon
537,2019,Alaska,423.5,Overall,American Indian and Alaskan Native,64.3173,-152.571
1761,2019,Alabama,133.6,Overall,American Indian and Alaskan Native,32.7949,-86.8267
3129,2019,Arkansas,123.6,Overall,American Indian and Alaskan Native,34.8982,-92.434
3165,2019,American Samoa,,Overall,American Indian and Alaskan Native,-14.2766,-170.367
3453,2019,Arizona,268.1,Overall,American Indian and Alaskan Native,34.2921,-111.664
4515,2019,California,315.6,Overall,American Indian and Alaskan Native,37.2414,-119.601
5685,2019,Colorado,249.7,Overall,American Indian and Alaskan Native,38.997,-105.549
5847,2019,Connecticut,166.4,Overall,American Indian and Alaskan Native,41.6179,-72.7254
5883,2019,District of Columbia,,Overall,American Indian and Alaskan Native,38.9005,-77.0159
5955,2019,Delaware,,Overall,American Indian and Alaskan Native,38.9952,-75.5014
7179,2019,Florida,129.9,Overall,American Indian and Alaskan Native,28.6588,-82.497
10059,2019,Georgia,70.2,Overall,American Indian and Alaskan Native,32.6549,-83.4547
10095,2019,Guam,,Overall,American Indian and Alaskan Native,13.4431,144.777
10203,2019,Hawaii,,Overall,American Indian and Alaskan Native,20.2408,-156.326
12003,2019,Iowa,263.2,Overall,American Indian and Alaskan Native,42.076,-93.5022
12813,2019,Idaho,250.9,Overall,American Indian and Alaskan Native,44.3858,-114.661
14667,2019,Illinois,100.4,Overall,American Indian and Alaskan Native,40.0644,-89.2034
16341,2019,Indiana,81.5,Overall,American Indian and Alaskan Native,39.9128,-86.2757
18249,2019,Kansas,530.9,Overall,American Indian and Alaskan Native,38.4828,-98.384
20427,2019,Kentucky,,Overall,American Indian and Alaskan Native,37.5266,-85.29
21597,2019,Louisiana,207.0,Overall,American Indian and Alaskan Native,31.0964,-92.0302
21867,2019,Massachusetts,144.1,Overall,American Indian and Alaskan Native,42.2573,-71.8024
22317,2019,Maryland,119.7,Overall,American Indian and Alaskan Native,39.0648,-76.82
22623,2019,Maine,264.7,Overall,American Indian and Alaskan Native,45.3889,-69.2349
24135,2019,Michigan,310.7,Overall,American Indian and Alaskan Native,44.3371,-85.4387
25719,2019,Minnesota,339.5,Overall,American Indian and Alaskan Native,46.3159,-94.3068
27807,2019,Missouri,133.1,Overall,American Indian and Alaskan Native,38.3641,-92.4798
27843,2019,Northern Mariana Islands,,Overall,American Indian and Alaskan Native,15.8818,145.601
29337,2019,Mississippi,341.6,Overall,American Indian and Alaskan Native,32.7577,-89.6646
30363,2019,Montana,514.2,Overall,American Indian and Alaskan Native,47.0332,-109.653
32181,2019,North Carolina,331.3,Overall,American Indian and Alaskan Native,35.5475,-79.4019
33153,2019,North Dakota,637.2,Overall,American Indian and Alaskan Native,47.4471,-100.47
34845,2019,Nebraska,311.5,Overall,American Indian and Alaskan Native,41.5228,-99.8085
35043,2019,New Hampshire,,Overall,American Indian and Alaskan Native,43.6834,-71.5794
35439,2019,New Jersey,142.5,Overall,American Indian and Alaskan Native,40.1987,-74.6768
36051,2019,New Mexico,231.4,Overall,American Indian and Alaskan Native,34.4228,-106.102
36375,2019,Nevada,330.5,Overall,American Indian and Alaskan Native,39.352,-116.65
37509,2019,New York,142.6,Overall,American Indian and Alaskan Native,42.9465,-75.512
39111,2019,Ohio,115.1,Overall,American Indian and Alaskan Native,40.2882,-82.7866
40515,2019,Oklahoma,480.7,Overall,American Indian and Alaskan Native,35.5848,-97.5098
41181,2019,Oregon,207.6,Overall,American Indian and Alaskan Native,43.9313,-120.554
42405,2019,Pennsylvania,102.3,Overall,American Indian and Alaskan Native,40.8749,-77.8022
43827,2019,Puerto Rico,,Overall,American Indian and Alaskan Native,18.2214,-66.4654
43935,2019,Rhode Island,259.1,Overall,American Indian and Alaskan Native,41.682,-71.5617
44781,2019,South Carolina,105.1,Overall,American Indian and Alaskan Native,33.9187,-80.9014
45987,2019,South Dakota,485.1,Overall,American Indian and Alaskan Native,44.4332,-100.236
47715,2019,Tennessee,88.0,Overall,American Indian and Alaskan Native,35.8465,-86.3351
52305,2019,Texas,110.3,Overall,American Indian and Alaskan Native,31.4906,-99.3517
52863,2019,Utah,244.5,Overall,American Indian and Alaskan Native,39.3231,-111.676
55275,2019,Virginia,164.3,Overall,American Indian and Alaskan Native,37.5188,-78.8507
55347,2019,Virgin Islands of the U.S.,,Overall,American Indian and Alaskan Native,17.9473,-64.8015
55617,2019,Vermont,,Overall,American Indian and Alaskan Native,44.0733,-72.661
56337,2019,Washington,334.9,Overall,American Indian and Alaskan Native,47.378,-120.428
57651,2019,Wisconsin,367.6,Overall,American Indian and Alaskan Native,44.6333,-90.0068
58659,2019,West Virginia,,Overall,American Indian and Alaskan Native,38.6411,-80.6147
59091,2019,Wyoming,338.4,Overall,American Indian and Alaskan Native,42.9984,-107.552
